,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
466,Familia Pacheco Organic, 2022,5.6,4.0,Vino tinto,Jumilla,14.0,Monastrell,,,
467,Pata Negra Roble, 2022,5.95,4.8,Vino tinto,Toro,14.5,Tinta de Toro,,,
471,Coca i Fitó Maragda, 2017,17.9,3.8,Vino tinto,Montsant,14.5,Garnacha,,,
472,Agustí Torelló Mata Gran Reserva Barrica, 2018,24.5,4.6,Cava,DO Cava,12.0,Macabeo,90.0,90.0,
473,Carmelo Rodero TSM, 2021,64.55,5.0,Vino tinto,Ribera del Duero,14.0,Tempranillo,92.0,94.0,
474,Afortunado, 2022,7.5,4.6,Vino blanco,Rueda,13.0,Verdejo,,,
475,Pulpo Albariño, 2022,12.5,3.8,Vino blanco,Rías Baixas,13.0,Albariño,,,
476,La Maldita Revolution, 2020,11.85,3.7,Vino tinto,Rioja,14.5,Garnacha,91.0,90.0,
477,Gran Feudo Casilla Del Guapo, 2021,7.2,5.0,Vino tinto,Navarra,14.0,Tempranillo,,,
478,Palacio de Bornos Frizzante Rosado,,6.5,5.0,Vino dulce frizzante,Rueda,5.5,Tempranillo,,,
479,Altos de Losada, 2021,19.95,3.8,Vino tinto,Bierzo,14.0,Mencía,92.0,,93.0
480,A Coroa, 2022,13.5,4.0,Vino blanco,Valdeorras,13.5,Godello,91.0,,
481,Agustí Torelló Mata Gran Reserva Brut Nature, 2017,16.9,4.2,Cava,DO Cava,11.5,Macabeo,91.0,,
482,Ekam, 2022,26.5,4.1,Vino blanco,Costers del Segre,12.5,Riesling,93.0,91.0,
483,El Reventón La Reina, 2022,33.95,0.0,Vino tinto,Cebreros,13.0,Garnacha,,,
484,Corambres, 2022,9.95,5.0,Vino tinto,Castilla,14.0,Tempranillo,,,
485,Camino de los Arrieros, 2021,14.9,4.0,Vino tinto,Arribes,11.5,Trincadeira,93.0,,92.0
486,David & Goliath, 2021,19.55,4.8,Vino tinto,España,14.5,Bobal,,,
487,Añares Terranova Rueda Verdejo, 2022,6.5,4.8,Vino blanco,Rueda,13.0,Verdejo,,,
488,Bassus Pinot Noir, 2021,26.95,4.3,Vino tinto,Utiel-Requena,13.5,Pinot noir,,91.0,
489,Barón de Ley Reserva, 2018,10.5,4.5,Vino tinto,Rioja,14.5,Tempranillo,,91.0,
490,Cuatro Rayas Cuarenta Vendimias Ribera Duero, 2020,8.95,5.0,Vino tinto,Ribera del Duero,14.5,Tempranillo,,,
491,Suertes del Marqués El Trenzado, 2022,21.25,4.8,Vino blanco,Valle de La Orotava,12.0,Listán blanco,94.0,,
492,Mas d'en Gil Vi de Vila Bellmunt del Priorat, 2020,17.9,3.9,Vino tinto,Priorat,14.5,Garnacha,92.0,,
493,AA Parvus Chardonnay, 2023,10.85,4.0,Vino blanco,Alella,13.0,Chardonnay,,,
494,Missenyora, 2021,13.85,5.0,Vino blanco,Costers del Segre,14.5,Macabeo,90.0,,
495,Fábregas Puro Syrah, 2020,12.0,5.0,Vino tinto,Somontano,14.0,Syrah,,,
496,Lolo, 2022,10.2,4.1,Vino blanco,Rías Baixas,12.0,Albariño,,,
497,Perelada Blue Festival Brut Reserva,,6.95,4.3,Cava,DO Cava,11.5,Macabeo,,,
498,Enate Syrah-Shiraz, 2019,23.5,4.7,Vino tinto,Somontano,14.0,Syrah,,90.0,
499,Viña Pomal Reserva, 2017,14.9,4.2,Vino tinto,Rioja,14.5,Tempranillo,91.0,,
