,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
177,Pere Ventura Vintage, 2016,"34,90 €","5,0",Cava,DO Cava,"12,0%",Xarel·lo,NA,94 PN,NA
178,Chánselus Castes Brancas, 2021,"42,35 €","4,8",Vino blanco,Ribeiro,"13,0%",Lado,97 PK,NA,NA
179,3404 Tinto Joven, 2022,"5,25 €","4,2",Vino tinto,Somontano,"13,5%",Cabernet sauvignon,NA,NA,90 SK
180,Viña Real Reserva, 2017,"14,90 €","4,2",Vino tinto,Rioja,"13,5%",Tempranillo,93+ PK,92 PN,94 SK
181,Llopart Integral Brut Nature, 2021,"16,25 €","4,3",Cava,Corpinnat,"11,5%",Parellada,NA,NA,NA
182,Protos Verdejo, 2022,"7,50 €","4,4",Vino blanco,Rueda,"13,0%",Verdejo,NA,90 PN,92 SK
183,Flor de Pingus, 2021,"159,50 €","4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,95-96 PK,96 PN,97 SK
184,La Forcallà de Antonia, 2021,"12,90 €","4,1",Vino tinto,Valencia,"14,5%",Forcayat del arco,93 PK,NA,NA
185,Avan Oak, 2022,"6,70 €","4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,NA,NA
186,Huguet Reserva Brut Nature, 2017,"14,90 €","4,3",Cava,Corpinnat,"12,0%",Parellada,92 PK,NA,NA
187,La Petite Agnès, 2021,"12,50 €","4,5",Vino tinto,Priorat,"14,5%",Garnacha,NA,NA,NA
188,Grillo, 2014,"37,95 €","4,5",Vino tinto,Somontano,"14,5%",Syrah,NA,NA,NA
189,Terrer de la Creu Brut Nature,,"8,40 €","5,0",Cava,DO Cava,"12,0%",Macabeo,NA,NA,NA
190,Evodia, 2021,"7,90 €","4,3",Vino tinto,Calatayud,"14,5%",Garnacha,91+ PK,NA,NA
191,Románico, 2021,"10,60 €","4,3",Vino tinto,Toro,"14,5%",Tinta de Toro,92 PK,NA,NA
192,Marqués de Cáceres Gaudium, 2019,"43,50 €","4,7",Vino tinto,Rioja,"14,0%",Tempranillo,NA,94 PN,95 SK
193,Ramón Bilbao Reserva, 2016,"14,90 €","4,6",Vino tinto,Rioja,"14,0%",Tempranillo,91+ PK,92 PN,NA
194,Sela, 2021,"17,90 €","4,5",Vino tinto,Rioja,"14,0%",Tempranillo,91 PK,NA,92 SK
195,Larchago Reserva, 2016,"16,50 €","0,0",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,93 SK
196,Aria Brut Nature,,"7,45 €","4,5",Cava,DO Cava,"12,0%",Macabeo,NA,NA,NA
197,Melior de Matarromera Roble, 2022,"9,30 €","4,3",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
198,Avancia Godello, 2022,"26,95 €","4,8",Vino blanco,Valdeorras,"13,5%",Godello,92 PK,93 PN,NA
199,Trus Roble, 2022,"9,95 €","4,8",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,90 PN,NA
200,Casa Castillo Monastrell, 2022,"8,95 €","4,1",Vino tinto,Jumilla,"14,5%",Monastrell,92+ PK,92 PN,NA
201,Garum, 2021,"12,75 €","4,3",Vino tinto,Cádiz,"14,5%",Merlot,NA,NA,NA
202,Jesús Yllera, 2016,"22,75 €","4,0",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,93 PK,NA,NA
203,Familia Valdelana Reserva, 2018,"11,95 €","4,3",Vino tinto,Rioja,"14,5%",Tempranillo,NA,NA,NA
204,Valparaíso Roble, 2021,"7,90 €","3,0",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,NA,NA
205,Fariña Lágrima, 2021,"8,40 €","4,6",Vino tinto,Toro,"14,0%",Tinta de Toro,NA,91 PN,NA
206,Embruix, 2021,"21,95 €","4,6",Vino tinto,Priorat,"15,0%",Garnacha,91 PK,NA,NA
207,Izadi Crianza, 2020,"10,95 €","4,2",Vino tinto,Rioja,"14,0%",Tempranillo,91 PK,93 PN,NA
208,Viña Pedrosa Crianza, 2020,"21,90 €","3,8",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,92 PK,NA,NA
209,Leopardi Gran Reserva Vintage, 2017,"25,60 €","4,5",Cava,Corpinnat,"11,5%",Macabeo,92 PK,92 PN,NA
210,Viña Costeira Colección 68, 2022,"9,75 €","4,0",Vino blanco,Ribeiro,"12,5%",Treixadura,NA,NA,NA
211,Godelia Godello, 2022,"10,95 €","4,3",Vino blanco,Bierzo,"13,5%",Godello,NA,NA,90 SK
212,Luberri Maceración Carbónica, 2022,"7,50 €","4,5",Vino de maceración carbónica,Rioja,"14,0%",Tempranillo,NA,90 PN,NA
213,Vizcarra Senda del Oro, 2022,"10,35 €","4,2",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,90 PK,90 PN,NA
214,PradoRey Origen Roble, 2022,"7,50 €","4,1",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,90 PN,NA
215,Blanc Pescador,,"4,50 €","4,3",Vino blanco frizzante,España,"11,5%",Macabeo,NA,NA,NA
216,Protos 27, 2020,"27,90 €","4,5",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,90 PK,94 PN,93 SK
217,Carmelo Rodero Reserva, 2019,"35,90 €","4,8",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,92 PK,91 PN,93 SK
218,Raventós i Blanc Blanc de Blancs, 2021,"15,55 €","4,6",Cava,Conca del Riu Anoia,"12,0%",Macabeo,92 PK,NA,NA
219,Naia, 2022,"9,95 €","4,3",Vino blanco,Rueda,"13,5%",Verdejo,90 PK,91 PN,NA
220,Sking Or Queen, 2021,"11,30 €","0,0",Vino naranja,Cebreros,"13,0%",Albillo,91 PK,NA,NA
221,Muga Rosado, 2022,"9,95 €","4,6",Vino rosado,Rioja,"13,5%",Garnacha,90 PK,91 PN,91 SK
222,Lasurreal, 2022,"12,90 €","5,0",Vino blanco,Empordà,"12,0%",Chardonnay,NA,NA,NA
223,Tinto Figuero 4 Meses, 2021,"10,95 €","4,5",Vino tinto,Ribera del Duero,"13,5%",Tempranillo,NA,NA,NA
224,Mauro VS, 2020,"65,80 €","4,9",Vino tinto,Castilla y León,"14,5%",Tempranillo,95 PK,94 PN,NA
225,Coma Vella, 2018,"27,90 €","4,5",Vino tinto,Priorat,"15,0%",Cabernet sauvignon,94 PK,NA,NA
226,Valtravieso Crianza, 2020,"16,50 €","4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,90 PK,90 PN,NA
227,Dominio de Tares Cepas Viejas, 2018,"16,40 €","4,1",Vino tinto,Bierzo,"14,5%",Mencía,90 PK,91 PN,NA
228,Beronia Reserva, 2017,"14,90 €","4,4",Vino tinto,Rioja,"12,5%",Tempranillo,NA,NA,NA
229,Torre La Moreira, 2022,"10,95 €","4,9",Vino blanco,Rías Baixas,"11,5%",Albariño,NA,NA,NA
230,Albariño de Fefiñanes, 2022,"19,55 €","4,4",Vino blanco,Rías Baixas,"12,5%",Albariño,91+ PK,92 PN,NA
231,Vega Sicilia Único, 2013,"402,55 €","4,8",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,98 PK,96 PN,98 SK
232,Lanzaga, 2020,"26,90 €","4,2",Vino tinto,Rioja,"14,0%",Tempranillo,94 PK,93 PN,95 SK
233,Numanthia, 2018,"52,50 €","4,6",Vino tinto,Toro,"15,0%",Tinta de Toro,94 PK,94 PN,97 SK
234,Viña Bosconia Reserva, 2012,"24,90 €","4,4",Vino tinto,Rioja,"13,5%",Tempranillo,93 PK,NA,95 SK
235,Do Ferreiro, 2022,"16,95 €","4,3",Vino blanco,Rías Baixas,"12,5%",Albariño,94 PK,92 PN,NA
236,Sericis Bobal, 2019,"10,50 €","4,7",Vino tinto,Utiel-Requena,"13,0%",Bobal,NA,NA,NA
237,Casa Castillo La Tendida, 2021,"13,90 €","4,0",Vino tinto,Jumilla,"14,5%",Monastrell,93+ PK,93 PN,NA
238,Perelada Finca Malaveïna, 2021,"22,40 €","4,6",Vino tinto,Empordà,"14,5%",Merlot,90 PK,93 PN,NA
239,Muriel Fincas de la Villa Crianza, 2020,"7,95 €","4,1",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,NA
240,Lustau Palo Cortado Península,,"18,90 €","4,8",Palo cortado,Jerez-Manzanilla,"19,0%",Palomino fino,NA,NA,NA
241,Bermejo Malvasía Seco, 2022,"22,40 €","4,8",Vino blanco,Lanzarote,"13,0%",Malvasía,NA,NA,NA
242,Protocolo Tinto, 2021,"4,65 €","3,9",Vino tinto,Castilla,"14,0%",Tempranillo,NA,NA,NA
243,Sexto Elemento, 2021,"20,95 €","4,9",Vino tinto,Valencia,"15,5%",Bobal,NA,NA,NA
244,Ilercavònia, 2022,"9,95 €","4,4",Vino blanco,Terra Alta,"13,5%",Garnacha blanca,NA,NA,92 SK
245,Clos Lojen, 2022,"7,90 €","4,2",Vino tinto,Manchuela,"13,0%",Bobal,93 PK,NA,NA
246,Ramón Bilbao Verdejo, 2023,"7,50 €","4,3",Vino blanco,Rueda,"13,0%",Verdejo,NA,90 PN,NA
247,Cygnus Deneb Brut Nature Reserva - sin sulfitos añadidos,,"11,95 €","4,8",Cava,DO Cava,"11,5%",Xarel·lo,NA,NA,NA
248,Viña Sastre Crianza, 2020,"21,95 €","4,4",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,90+ PK,93 PN,NA
249,Dominio del Bendito El Primer Paso, 2022,"15,40 €","4,2",Vino tinto,Toro,"15,0%",Tinta de Toro,92 PK,NA,NA
250,Monopole, 2022,"5,95 €","4,3",Vino blanco,Rioja,"13,0%",Viura,91 PK,NA,92 SK
251,Marmellans Negre,,"4,20 €","4,2",Vino tinto,Catalunya,"14,0%",Garnacha,NA,NA,NA
252,Les Brugueres Blanc, 2022,"19,55 €","4,6",Vino blanco,Priorat,"13,5%",Garnacha blanca,91 PK,90 PN,93 SK
