Encabezados,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
595,Capricho Val de Paxariñas, 2022,No se encontró el elemento price,"4,8",Vino blanco,Bierzo,"13,5%",Godello,90 PK,93 PN,NA
596,Quinta Milú La Cometa, 2021,No se encontró el elemento price,"4,3",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
597,Txakoli Aizpurua, 2022,No se encontró el elemento price,"4,3",Vino blanco,Getariako Txakolina,"11,0%",Hondarribi zuri,NA,NA,NA
598,Castro Candaz La Vertical, 2020,No se encontró el elemento price,"0,0",Vino blanco,Ribeira Sacra,"13,5%",Godello,93 PK,NA,NA
599,Ruxe Ruxe, 2021,No se encontró el elemento price,"4,5",Vino tinto,Ribeira Sacra,"14,0%",Mencía,NA,NA,NA
600,Viñas del Vero Gran Vos Reserva, 2016,No se encontró el elemento price,"4,3",Vino tinto,Somontano,"14,0%",Cabernet sauvignon,NA,90 PN,90 SK
601,Bertha Siglo XXI, 2009,No se encontró el elemento price,"0,0",Cava,DO Cava,"12,0%",Macabeo,NA,NA,NA
602,Casa Castillo Pie Franco, 2021,"149,00 €","4,5",Vino tinto,Jumilla,"14,5%",Monastrell,100 PK,95 PN,NA
603,Heras Cordón Vendimia Seleccionada, 2019,No se encontró el elemento price,"5,0",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,NA
604,Mas de Mancuso Macabeo, 2019,No se encontró el elemento price,"0,0",Vino blanco,Cariñena,"13,5%",Macabeo,94 PK,NA,NA
605,Obalo La Encina Crianza, 2019,No se encontró el elemento price,"4,5",Vino tinto,Rioja,"14,5%",Tempranillo,90+ PK,93 PN,92 SK
606,Adernats Reserva Brut,,No se encontró el elemento price,"4,0",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
607,Rodrigo Méndez Muti, 2021,No se encontró el elemento price,"4,3",Vino blanco,Rías Baixas,"13,0%",Albariño,93 PK,NA,NA
608,Hermanos Lurton Sauvignon Blanc, 2022,No se encontró el elemento price,"4,0",Vino blanco,Rueda,"13,5%",Sauvignon blanc,NA,90 PN,NA
609,Luis Cañas Tinto Joven, 2022,No se encontró el elemento price,"4,3",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,NA
610,Honoro Vera Monastrell, 2022,No se encontró el elemento price,"4,8",Vino tinto,Jumilla,"14,5%",Monastrell,NA,NA,NA
611,Orben, 2020,No se encontró el elemento price,"4,2",Vino tinto,Rioja,"14,0%",Tempranillo,92 PK,94 PN,93 SK
612,Manzanilla en Rama La Gitana,,No se encontró el elemento price,"4,4",Manzanilla,Jerez-Manzanilla,"15,0%",Palomino fino,NA,NA,NA
613,Perelada Blue Festival Brut Reserva,,No se encontró el elemento price,"4,3",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
614,Valdesil Godello sobre lías, 2022,No se encontró el elemento price,"3,3",Vino blanco,Valdeorras,"13,5%",Godello,90 PK,93 PN,NA
615,Viña Pomal Blanco, 2023,No se encontró el elemento price,"4,3",Vino blanco,Rioja,"12,5%",Viura,NA,90 PN,NA
616,Milsetentayseis, 2020,No se encontró el elemento price,"0,0",Vino Tinto,Ribera del Duero,"14,5%",Tempranillo,93 PK,NA,94 SK
617,Bassus Pinot Noir, 2021,"26,95 €","4,3",Vino tinto,Utiel-Requena,"13,5%",Pinot noir,NA,91 PN,NA
618,Clos d'Agon, 2014,"45,60 €","0,0",Vino tinto,Catalunya,"13,5%",Cabernet sauvignon,91 PK,93 PN,NA
619,Biga Crianza, 2020,"8,95 €","4,3",Vino tinto,Rioja,"13,5%",Tempranillo,NA,91 PN,NA
620,Crater, 2018,No se encontró el elemento price,"0,0",Vino tinto,Tacoronte - Acentejo,"13,5%",Listán negro,NA,91 PN,NA
621,El Telar, 2019,No se encontró el elemento price,"5,0",Vino tinto,Alicante,"15,5%",Monastrell,91 PK,NA,NA
622,Dominio de Valdelacasa, 2019,No se encontró el elemento price,"5,0",Vino tinto,Toro,"14,0%",Tinta de Toro,NA,NA,NA
623,Viña Real Gran Reserva, 2015,No se encontró el elemento price,"4,9",Vino tinto,Rioja,"13,5%",Tempranillo,95 PK,91 PN,95 SK
624,Can Sumoi Sumoll-Garnacha, 2022,No se encontró el elemento price,"5,0",Vino Tinto,Penedès,"13,0%",Sumoll,NA,NA,NA
625,Cantariña 5 Valdeobispo, 2018,No se encontró el elemento price,"0,0",Vino Tinto,Bierzo,"14,0%",Mencía,91 PK,NA,NA
626,Familia Valdelana Rosado, 2021,No se encontró el elemento price,"5,0",Vino rosado,Rioja,"12,5%",Garnacha,NA,NA,NA
627,Lolo, 2022,No se encontró el elemento price,"4,1",Vino blanco,Rías Baixas,"12,0%",Albariño,NA,NA,NA
628,Arenisca Paraje Los Pilones, 2021,No se encontró el elemento price,"4,4",Vino tinto,España,"14,5%",Tinta de Toro,92+ PK,92 PN,NA
629,Damana 5, 2021,No se encontró el elemento price,"4,5",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,92 SK
630,Ariyanas David Tinto Dulce," 2022 (0,37 L)",No se encontró el elemento price,"0,0",Vino dulce,Sierras de Málaga,"12,5%",Merlot,NA,NA,NA
631,Doix Murmuri, 2022,No se encontró el elemento price,"4,0",Vino blanco,Priorat,"13,0%",Garnacha blanca,92 PK,NA,NA
632,Boig Per Tu, 2020,No se encontró el elemento price,"4,0",Vino tinto,Montsant,"14,5%",Garnacha,NA,NA,NA
633,Dits del Terra, 2021,"64,55 €","5,0",Vino tinto,Priorat,"13,5%",Cariñena,96 PK,95 PN,95 SK
634,Campo Viejo Rosado, 2022,No se encontró el elemento price,"4,7",Vino rosado,Rioja,"13,5%",Tempranillo,NA,NA,NA
635,Loxarel Brut Nature Reserva Vintage, 2020,No se encontró el elemento price,"4,0",Cava,Clàssic Penedès,"12,0%",Xarel·lo,NA,NA,NA
636,Tobelos Crianza, 2019,No se encontró el elemento price,"4,0",Vino tinto,Rioja,"13,5%",Tempranillo,90 PK,90 PN,NA
637,3404 Tuca D'Aneto Crianza, 2020,No se encontró el elemento price,"4,0",Vino Tinto,Somontano,"14,5%",Cabernet sauvignon,NA,NA,NA
638,Enate Cabernet Sauvignon Merlot, 2020,"7,50 €","4,4",Vino tinto,Somontano,"14,5%",Cabernet sauvignon,NA,NA,NA
639,D'Iatra Gratallops Vi de Vila, 2017,No se encontró el elemento price,"4,6",Vino tinto,Priorat,"15,5%",Cariñena,NA,NA,NA
640,Museum Reserva, 2019,No se encontró el elemento price,"4,6",Vino tinto,Cigales,"14,5%",Tempranillo,90 PK,92 PN,91 SK
641,El Castro de Valtuille Godello, 2022,No se encontró el elemento price,"4,5",Vino blanco,Bierzo,"13,5%",Godello,93 PK,93 PN,NA
642,Vulcano Malvasia Seco, 2023,No se encontró el elemento price,"4,6",Vino blanco,Lanzarote,"13,0%",Malvasía,NA,NA,NA
643,Cerro Añón Gran Reserva, 2016,No se encontró el elemento price,"4,0",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,NA
644,Recaredo Turó d'en Mota, 2009,"134,50 €","5,0",Cava,DO Cava,"12,5%",Xarel·lo,97 PK,97 PN,NA
645,AA Bruant Natural, 2021,No se encontró el elemento price,"4,0",Cava,DO Cava,"12,0%",Xarel·lo,90 PK,NA,NA
646,Baigorri B70, 2019,No se encontró el elemento price,"4,0",Vino tinto,Rioja,"14,5%",Tempranillo,NA,NA,93 SK
647,Lagar d'Amprius Garnacha, 2016,No se encontró el elemento price,"5,0",Vino tinto,Bajo Aragón,"15,0%",Garnacha,NA,NA,NA
648,Nebla Verdejo, 2022,No se encontró el elemento price,"5,0",Vino blanco,Castilla y León,"13,0%",Verdejo,NA,NA,NA
649,Gémina Finca El Volcán, 2017,No se encontró el elemento price,"0,0",Vino tinto,Jumilla,"14,5%",Monastrell,NA,NA,NA
650,Ramón Bilbao Gran Reserva, 2014,No se encontró el elemento price,"4,9",Vino tinto,Rioja,"14,0%",Tempranillo,90+ PK,93 PN,NA
651,Citius, 2018,No se encontró el elemento price,"4,0",Vino tinto,Castilla y León,"14,5%",Pinot noir,92 PK,90 PN,NA
652,Casar Godello Fermentado en Barrica, 2021,No se encontró el elemento price,"4,0",Vino blanco,Bierzo,"13,5%",Godello,91 PK,NA,NA
653,Roger Goulart Brut Nature Reserva, 2020,No se encontró el elemento price,"4,2",Cava,DO Cava,"12,0%",Xarel·lo,NA,NA,NA
654,Perelada Cava Ed. Especial Centenaria, 2020,No se encontró el elemento price,"0,0",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
655,Juvé & Camps Cinta Púrpura Brut,,No se encontró el elemento price,"4,3",Cava,DO Cava,"12,0%",Macabeo,NA,NA,NA
656,Pere Ventura Tresor Aniversary Gran Reserva, 2018,"27,95 €","5,0",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
657,J. Antonio Ponce La Xara, 2022,No se encontró el elemento price,"4,0",Vino tinto,Manchuela,"12,5%",Garnacha,93 PK,NA,93 SK
658,Algueira Brandan Godello, 2022,No se encontró el elemento price,"4,5",Vino blanco,Ribeira Sacra,"12,5%",Godello,91 PK,NA,NA
659,La Xocolata del Lloro, 2022,"20,50 €","5,0",Vino Blanco,España,"12,5%",Malvasía,NA,NA,NA
660,Dahlia Gris, 2022,No se encontró el elemento price,"5,0",Vino rosado,Penedès,"12,5%",Garnacha gris,NA,NA,NA
661,Parxet Brut Reserva, 2020,No se encontró el elemento price,"4,0",Cava,DO Cava,"11,5%",Pansa blanca,NA,NA,NA
662,Naluar, 2020,No se encontró el elemento price,"5,0",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,92+ PK,91 PN,NA
663,Faustino V Rosado, 2022,No se encontró el elemento price,"4,1",Vino rosado,Rioja,"13,5%",Tempranillo,NA,NA,NA
664,Club Altanza Reserva, 2015,No se encontró el elemento price,"4,7",Vino tinto,Rioja,"14,0%",Tempranillo,91 PK,93 PN,93 SK
665,Corazón Loco Blanco, 2022,No se encontró el elemento price,"3,0",Vino blanco,Manchuela,"12,5%",Verdejo,NA,NA,NA
666,El Tiempo Que Nos Une Monastrell, 2022,No se encontró el elemento price,"5,0",Vino Tinto,Jumilla,"14,0%",Monastrell,NA,NA,NA
667,Taïka, 2016,"49,90 €","4,5",Ancestral,Costers del Segre,"12,0%",Sauvignon blanc,94 PK,90 PN,NA
668,Laus Blanco, 2022,No se encontró el elemento price,"5,0",Vino blanco,Somontano,"13,0%",Chardonnay,NA,NA,NA
669,Codorníu Clásico Semi Sec,,No se encontró el elemento price,"4,8",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
670,Poesia Garnacha Blanca, 2022,No se encontró el elemento price,"3,8",Vino blanco,Catalunya,"12,5%",Garnacha blanca,NA,NA,NA
671,Viuda Negra Nunca Jamás, 2021,No se encontró el elemento price,"4,3",Vino tinto,Rioja,"14,0%",Tempranillo,90 PK,NA,NA
672,Dehesa de los Canónigos Quinta Generación, 2022,No se encontró el elemento price,"3,3",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,91 PK,NA,NA
673,Perlat Negre, 2021,No se encontró el elemento price,"0,0",Vino tinto,Montsant,"14,5%",Garnacha,NA,NA,NA
674,Mastinell Nature Gran Reserva, 2014,"18,50 €","5,0",Cava,DO Cava,"12,0%",Xarel·lo,NA,90 PN,NA
675,G22 de Gorka Izagirre, 2021,No se encontró el elemento price,"4,7",Vino blanco,Bizkaiko Txakolina,"13,0%",Hondarribi zerratia,NA,NA,NA
676,Ilun de Gorka Izagirre Txacoli Tinto, 2022,No se encontró el elemento price,"5,0",Vino tinto,España,"12,5%",Hondarribi beltza,NA,NA,NA
677,Carles Andreu Brut Reserva, 2021,No se encontró el elemento price,"5,0",Cava,DO Cava,"11,5%",Parellada,NA,NA,NA
678,Beronia Crianza, 2020,No se encontró el elemento price,"4,3",Vino tinto,Rioja,"13,5%",Tempranillo,NA,NA,92 SK
679,Ninín, 2021,No se encontró el elemento price,"0,0",Vino tinto,Ribera del Duero,"13,5%",Tempranillo,NA,NA,NA
680,Marqués de Griñón Cabernet Sauvignon, 2019,"24,95 €","3,7",Vino tinto,Dominio de Valdepusa,"15,0%",Cabernet sauvignon,91 PK,93 PN,NA
681,Savina, 2022,No se encontró el elemento price,"4,7",Vino blanco,Formentera,"14,0%",Viognier,NA,NA,NA
682,Creciente Albariño, 2022,No se encontró el elemento price,"3,9",Vino blanco,Rías Baixas,"13,0%",Albariño,NA,90 PN,NA
683,Mas d'en Compte Negre, 2016,No se encontró el elemento price,"4,4",Vino tinto,Priorat,"14,5%",Cariñena,91 PK,NA,NA
684,DG Viticultors Brut Rosé, 2013,No se encontró el elemento price,"4,4",Cava,DO Cava,"12,5%",Pinot noir,NA,NA,NA
685,Freixenet Reserva Brut Nature,,"8,85 €","4,4",Cava,DO Cava,"12,0%",Macabeo,NA,NA,NA
686,Lo Cirerer de Cal Bessó, 2019,No se encontró el elemento price,"4,7",Vino tinto,Montsant,"14,5%",Garnacha,NA,NA,NA
687,El Gos, 2022,No se encontró el elemento price,"4,0",Vino tinto,España,"14,0%",Garnacha,NA,NA,NA
688,Ramón Bilbao Tempranillo Edición Limitada, 2020,No se encontró el elemento price,"4,4",Vino tinto,Rioja,"14,0%",Tempranillo,NA,92 PN,NA
689,Noster, 2016,No se encontró el elemento price,"4,7",Vino tinto,Priorat,"14,5%",Garnacha,NA,NA,NA
690,Cuatro Rayas Cuarenta Vendimias Ribera Duero, 2020,No se encontró el elemento price,"5,0",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,NA,NA
691,Las Moradas de San Martín Initio, 2018,No se encontró el elemento price,"4,5",Vino tinto,Vinos de Madrid,"15,0%",Garnacha,NA,NA,NA
692,Juan Gil Moscatel Seco, 2023,No se encontró el elemento price,"4,1",Vino blanco,Jumilla,"13,5%",Moscatel de Alejandría,NA,NA,NA
693,Edulis Crianza, 2019,No se encontró el elemento price,"4,4",Vino tinto,Rioja,"13,5%",Tempranillo,NA,90 PN,90 SK
694,Cirsion, 2019,No se encontró el elemento price,"4,0",Vino tinto,Rioja,"14,5%",Tempranillo,95 PK,95 PN,98 SK
695,Marko Gure Arbasoak, 2022,"22,55 €","0,0",Vino blanco,Bizkaiko Txakolina,"12,5%",Hondarribi zerratia,94 PK,NA,NA
696,La Garnatxa Fosca del Priorat, 2021,No se encontró el elemento price,"3,9",Vino tinto,Priorat,"15,0%",Garnacha,NA,NA,NA
697,Anais Xarel·lo, 2022,No se encontró el elemento price,"5,0",Vino blanco,Penedès,"12,0%",Xarel·lo,NA,NA,NA
698,Pagos de Aráiz Crianza, 2019,No se encontró el elemento price,"4,5",Vino tinto,Navarra,"14,5%",Tempranillo,NA,NA,NA
699,Petit Hipperia, 2021,No se encontró el elemento price,"4,5",Vino tinto,Castilla,"15,0%",Merlot,90 PK,NA,NA
700,Les Cousins L'Antagonique, 2021,No se encontró el elemento price,"4,4",Vino blanco,Priorat,"14,5%",Garnacha,NA,NA,NA
701,Lavia, 2017,No se encontró el elemento price,"3,5",Vino tinto,Bullas,"14,0%",Monastrell,90 PK,90 PN,91 SK
702,Mía Freixenet Sparkling Moscato Rosé,,No se encontró el elemento price,"4,0",Vino dulce frizzante,España,"7,0%",Moscatel de Alejandría,NA,NA,NA
703,Ultreia Mencía, 2020,No se encontró el elemento price,"4,1",Vino tinto,Bierzo,"13,5%",Mencía,93 PK,NA,91 SK
704,Perles Roses de Naveran, 2021,No se encontró el elemento price,"5,0",Cava,DO Cava,"12,5%",Pinot noir,91 PK,93 PN,NA
705,Atteca, 2020,No se encontró el elemento price,"4,4",Vino tinto,Calatayud,"15,0%",Garnacha,90+ PK,93 PN,90 SK
706,Campo Viejo Crianza, 2020,No se encontró el elemento price,"4,5",Vino tinto,Rioja,"13,5%",Tempranillo,NA,NA,NA
707,Viuda Negra Nunca Jamás, 2021,No se encontró el elemento price,"4,3",Vino tinto,Rioja,"14,0%",Tempranillo,90 PK,NA,NA
708,Dehesa de los Canónigos Quinta Generación, 2022,No se encontró el elemento price,"3,3",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,91 PK,NA,NA
709,Perlat Negre, 2021,No se encontró el elemento price,"0,0",Vino tinto,Montsant,"14,5%",Garnacha,NA,NA,NA
710,Mastinell Nature Gran Reserva, 2014,"18,50 €","5,0",Cava,DO Cava,"12,0%",Xarel·lo,NA,90 PN,NA
711,G22 de Gorka Izagirre, 2021,No se encontró el elemento price,"4,7",Vino blanco,Bizkaiko Txakolina,"13,0%",Hondarribi zerratia,NA,NA,NA
712,Ilun de Gorka Izagirre Txacoli Tinto, 2022,No se encontró el elemento price,"5,0",Vino tinto,España,"12,5%",Hondarribi beltza,NA,NA,NA
713,Carles Andreu Brut Reserva, 2021,No se encontró el elemento price,"5,0",Cava,DO Cava,"11,5%",Parellada,NA,NA,NA
714,Beronia Crianza, 2020,No se encontró el elemento price,"4,3",Vino tinto,Rioja,"13,5%",Tempranillo,NA,NA,92 SK
715,Ninín, 2021,No se encontró el elemento price,"0,0",Vino tinto,Ribera del Duero,"13,5%",Tempranillo,NA,NA,NA
716,Marqués de Griñón Cabernet Sauvignon, 2019,"24,95 €","3,7",Vino tinto,Dominio de Valdepusa,"15,0%",Cabernet sauvignon,91 PK,93 PN,NA
717,Savina, 2022,No se encontró el elemento price,"4,7",Vino blanco,Formentera,"14,0%",Viognier,NA,NA,NA
718,Creciente Albariño, 2022,No se encontró el elemento price,"3,9",Vino blanco,Rías Baixas,"13,0%",Albariño,NA,90 PN,NA
719,Mas d'en Compte Negre, 2016,No se encontró el elemento price,"4,4",Vino tinto,Priorat,"14,5%",Cariñena,91 PK,NA,NA
720,DG Viticultors Brut Rosé, 2013,No se encontró el elemento price,"4,4",Cava,DO Cava,"12,5%",Pinot noir,NA,NA,NA
721,Freixenet Reserva Brut Nature,,"8,85 €","4,4",Cava,DO Cava,"12,0%",Macabeo,NA,NA,NA
722,Lo Cirerer de Cal Bessó, 2019,No se encontró el elemento price,"4,7",Vino tinto,Montsant,"14,5%",Garnacha,NA,NA,NA
723,El Gos, 2022,No se encontró el elemento price,"4,0",Vino tinto,España,"14,0%",Garnacha,NA,NA,NA
724,Ramón Bilbao Tempranillo Edición Limitada, 2020,No se encontró el elemento price,"4,4",Vino tinto,Rioja,"14,0%",Tempranillo,NA,92 PN,NA
725,Noster, 2016,No se encontró el elemento price,"4,7",Vino tinto,Priorat,"14,5%",Garnacha,NA,NA,NA
726,Cuatro Rayas Cuarenta Vendimias Ribera Duero, 2020,No se encontró el elemento price,"5,0",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,NA,NA
727,Las Moradas de San Martín Initio, 2018,No se encontró el elemento price,"4,5",Vino tinto,Vinos de Madrid,"15,0%",Garnacha,NA,NA,NA
728,Juan Gil Moscatel Seco, 2023,No se encontró el elemento price,"4,1",Vino blanco,Jumilla,"13,5%",Moscatel de Alejandría,NA,NA,NA
729,Edulis Crianza, 2019,No se encontró el elemento price,"4,4",Vino tinto,Rioja,"13,5%",Tempranillo,NA,90 PN,90 SK
730,Cirsion, 2019,No se encontró el elemento price,"4,0",Vino tinto,Rioja,"14,5%",Tempranillo,95 PK,95 PN,98 SK
731,Marko Gure Arbasoak, 2022,"22,55 €","0,0",Vino blanco,Bizkaiko Txakolina,"12,5%",Hondarribi zerratia,94 PK,NA,NA
732,La Garnatxa Fosca del Priorat, 2021,No se encontró el elemento price,"3,9",Vino tinto,Priorat,"15,0%",Garnacha,NA,NA,NA
733,Anais Xarel·lo, 2022,No se encontró el elemento price,"5,0",Vino blanco,Penedès,"12,0%",Xarel·lo,NA,NA,NA
734,Cantocuerdas Albillo, 2020,No se encontró el elemento price,"4,5",Vino blanco,Vinos de Madrid,"14,0%",Albillo,91+ PK,NA,NA
735,Pinord Chateldon Reserva, 2018,No se encontró el elemento price,"4,0",Vino tinto,Penedès,"14,0%",Cabernet sauvignon,NA,NA,NA
736,Valenciso, 2017,"24,50 €","4,3",Vino tinto,Rioja,"14,5%",Tempranillo,94 PK,NA,NA
737,Compta Gotes, 2021,No se encontró el elemento price,"5,0",Vino tinto,Priorat,"14,5%",Garnacha,NA,NA,NA
738,Castillo de Monte la Reina Cuvée Privée, 2019,No se encontró el elemento price,"4,3",Vino tinto,Toro,"14,5%",Tempranillo,NA,NA,NA
739,Lirondo, 2022,No se encontró el elemento price,"4,8",Vino blanco,España,"13,5%",Verdejo,90 PK,90 PN,NA
740,Fagus de Coto de Hayas Selección Especial, 2020,"20,95 €","4,8",Vino tinto,Campo de Borja,"14,5%",Garnacha,NA,93 PN,NA
741,Carles Andreu Trepat, 2021,No se encontró el elemento price,"4,5",Vino tinto,Conca de Barberà,"12,5%",Trepat,90 PK,NA,NA
742,Artuke Tinto, 2022,No se encontró el elemento price,"3,9",Vino tinto,Rioja,"13,5%",Tempranillo,91+ PK,90 PN,NA
743,Raimat Castell Chardonnay, 2022,No se encontró el elemento price,"4,4",Vino blanco,Costers del Segre,"13,0%",Chardonnay,NA,90 PN,NA
744,Alma Bohemia de Altanza, 2021,No se encontró el elemento price,"3,0",Vino rosado,Rioja,"13,5%",Tempranillo,NA,NA,91 SK
745,Viña Costeira, 2022,No se encontró el elemento price,"4,6",Vino blanco,Ribeiro,"12,0%",Treixadura,NA,NA,NA
746,Principia Mathematica, 2022,No se encontró el elemento price,"3,9",Vino blanco,Penedès,"12,5%",Xarel·lo,94 PK,91 PN,NA
747,González Byass Néctar Pedro Ximénez,,"9,95 €","4,5",Vino dulce natural,Jerez-Manzanilla,"15,0%",Pedro ximénez,NA,NA,NA
748,Herència Altés Garnatxa Blanca, 2022,No se encontró el elemento price,"4,5",Vino blanco,Terra Alta,"13,0%",Garnacha blanca,NA,NA,91 SK
749,Laltre, 2021,No se encontró el elemento price,"4,7",Vino tinto,Costers del Segre,"14,0%",Tempranillo,NA,NA,NA
750,Regina Viarum Mencía, 2022,No se encontró el elemento price,"5,0",Vino tinto,Ribeira Sacra,"13,5%",Mencía,NA,90 PN,NA
751,Rebisaca, 2021,No se encontró el elemento price,"5,0",Vino blanco,Rías Baixas,"13,5%",Albariño,93 PK,NA,NA
752,Málaga Virgen Moscatel Reserva de Familia," (0,5 L)","9,90 €","5,0",Vino dulce natural,Málaga,"15,0%",Moscatel de Alejandría,NA,NA,NA
753,Finca Montepedroso, 2022,No se encontró el elemento price,"5,0",Vino blanco,Rueda,"12,5%",Verdejo,NA,NA,NA
754,Fai un Sol de Carallo, 2021,No se encontró el elemento price,"0,0",Vino blanco,Ribeiro,"12,5%",Treixadura,94 PK,93 PN,NA
755,L'Antana, 2013,No se encontró el elemento price,"5,0",Vino tinto,Penedès,"14,5%",Merlot,NA,NA,NA
756,Les Crestes, 2022,No se encontró el elemento price,"4,3",Vino tinto,Priorat,"14,5%",Garnacha,92+ PK,92 PN,NA
757,Sierra Cantabria Reserva, 2016,"19,55 €","4,7",Vino tinto,Rioja,"14,0%",Tempranillo,91 PK,NA,NA
758,Torremayor Crianza, 2021,No se encontró el elemento price,"4,0",Vino tinto,Extremadura,"13,5%",Tempranillo,NA,NA,NA
759,Poesia Garnacha Tinta, 2021,No se encontró el elemento price,"4,1",Vino tinto,Catalunya,"13,5%",Garnacha,NA,NA,NA
760,Glorioso Reserva, 2018,No se encontró el elemento price,"4,1",Vino tinto,Rioja,"13,5%",Tempranillo,NA,NA,NA
761,Condado de Oriza Reserva, 2017,No se encontró el elemento price,"4,4",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,93 SK
762,Finca Terrerazo, 2021,"27,85 €","4,6",Vino tinto,El Terrerazo,"14,5%",Bobal,94+ PK,94 PN,NA
763,Alquez, 2019,"10,95 €","4,4",Vino tinto,Calatayud,"15,0%",Garnacha,NA,NA,NA
764,Els Vinyerons Lluerna Blanc, 2022,No se encontró el elemento price,"5,0",Vino blanco,Penedès,"12,0%",Xarel·lo,NA,NA,NA
765,Finca Antigua Moscatel," 2022 (0,37 L)",No se encontró el elemento price,"4,8",Vino dulce,La Mancha,"13,0%",Moscatel de grano menudo,NA,NA,NA
766,Acediano, 2020,No se encontró el elemento price,"4,3",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,95 PK,NA,NA
767,Santes Negre, 2019,No se encontró el elemento price,"4,0",Vino tinto,Montsant,"13,5%",Tempranillo,NA,NA,NA
768,Summa Varietalis, 2020,No se encontró el elemento price,"4,0",Vino tinto,Dominio de Valdepusa,"15,0%",Cabernet sauvignon,91 PK,91 PN,NA
769,Bicicletas y Peces Sauvignon Blanc, 2022,No se encontró el elemento price,"4,5",Vino blanco,Rueda,"13,0%",Sauvignon blanc,NA,NA,NA
770,Can Axartell Blanco, 2022,No se encontró el elemento price,"3,0",Vino blanco,Mallorca,"13,0%",Malvasía,NA,NA,NA
771,Artazuri Rosado, 2022,No se encontró el elemento price,"4,0",Vino rosado,Navarra,"12,5%",Garnacha,NA,NA,NA
772,Anna de Codorníu Blanc de Blancs Reserva,,No se encontró el elemento price,"4,4",Cava,DO Cava,"11,5%",Chardonnay,NA,NA,NA
773,Codorniu Ars Collecta Blanc de Noirs, 2018,No se encontró el elemento price,"5,0",Cava,DO Cava,"11,5%",Pinot noir,NA,93 PN,NA
774,Clos Figueres, 2019,"62,50 €","5,0",Vino tinto,Priorat,"14,5%",Cariñena,95 PK,NA,NA
775,AA Parvus Chardonnay, 2023,No se encontró el elemento price,"4,0",Vino blanco,Alella,"13,0%",Chardonnay,NA,NA,NA
776,Viatge al Priorat, 2021,No se encontró el elemento price,"5,0",Vino tinto,Priorat,"15,0%",Garnacha,NA,NA,NA
777,Tajinaste Tinto Tradición, 2021,"14,50 €","4,0",Vino tinto,Valle de La Orotava,"13,0%",Listán negro,NA,NA,NA
778,Vallformosa Blue Fin Brut Reserva, 2020,No se encontró el elemento price,"0,0",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
779,Arrayán Rosado, 2021,No se encontró el elemento price,"0,0",Vino rosado,Méntrida,"13,5%",Syrah,NA,NA,NA
780,Faustino I Gran Reserva, 2011,No se encontró el elemento price,"4,8",Vino tinto,Rioja,"13,5%",Tempranillo,90 PK,93 PN,94 SK
781,El Aviador Tempranillo, (Bag in box 5L),No se encontró el elemento price,"4,1",Vino tinto,Castilla y León,"13,5%",Tempranillo,NA,NA,NA
782,Vega De La Reina Verdejo, 2022,No se encontró el elemento price,"4,0",Vino blanco,Rueda,"13,0%",Verdejo,NA,NA,NA
783,Teixar, 2019,"65,90 €","0,0",Vino tinto,Montsant,"15,0%",Garnacha peluda,93 PK,93 PN,NA
784,Ariyanas Naturalmente Dulce," 2021 (0,5 L)","19,95 €","5,0",Vino de pasas,Málaga,"13,0%",Moscatel de Alejandría,NA,NA,NA
785,Viña Vilano Crianza, 2020,No se encontró el elemento price,"4,3",Vino tinto,Ribera del Duero,"13,5%",Tempranillo,NA,91 PN,NA
786,Chan de Rosas Clasico, 2022,No se encontró el elemento price,"4,3",Vino blanco,Rías Baixas,"13,0%",Albariño,NA,NA,NA
787,Lynus Infante, 2022,No se encontró el elemento price,"4,6",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
788,Agustí Torelló Kripta, 2015,"69,90 €","4,9",Cava,DO Cava,"11,5%",Macabeo,92 PK,95 PN,NA
789,Barbazul Tinto Roble, 2021,No se encontró el elemento price,"4,4",Vino tinto,Cádiz,"15,0%",Tintilla,NA,NA,NA
790,Terrible Roble, 2021,No se encontró el elemento price,"3,8",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
791,Soma, 2022,No se encontró el elemento price,"4,0",Vino blanco,Mallorca,"12,5%",Viognier,NA,NA,NA
