Encabezados,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
107,Adhuc Tempus Roble, 2021,No se encontró el elemento price,"4,6",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
108,Zárate Albariño, 2022,No se encontró el elemento price,"4,3",Vino blanco,Rías Baixas,"12,5%",Albariño,93+ PK,92 PN,NA
109,Valduero 2 Maderas, 2019,"25,95 €","4,4",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
110,Cava Rimarts Brut Nature Reserva 24, 2021,No se encontró el elemento price,"4,3",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
111,Queiron Mi Lugar, 2019,No se encontró el elemento price,"0,0",Vino tinto,Rioja,"14,5%",Tempranillo,NA,NA,NA
112,Vetus, 2019,"17,30 €","4,7",Vino tinto,Toro,"14,5%",Tinta de Toro,92 PK,93 PN,92 SK
113,Viña Zorzal Garnacha, 2022,"6,75 €","4,2",Vino tinto,Navarra,"13,5%",Garnacha,92 PK,91 PN,NA
114,Dehesa la Granja, 2019,No se encontró el elemento price,"4,5",Vino tinto,Castilla y León,"14,5%",Tempranillo,92 PK,NA,93 SK
115,Hacienda Solano Selección, 2021,No se encontró el elemento price,"4,2",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,91 PK,91 PN,NA
116,Cutio Macabeo, 2021,No se encontró el elemento price,"5,0",Vino blanco,Cariñena,"14,0%",Macabeo,92 PK,NA,92 SK
117,Llopart Imperial Panoràmic Brut Gran Reserva, 2018,"19,95 €","4,5",Cava,Corpinnat,"11,5%",Xarel·lo,91 PK,NA,NA
118,Juan Gil Etiqueta Amarilla, 2022,No se encontró el elemento price,"4,3",Vino tinto,Jumilla,"14,5%",Monastrell,NA,90 PN,NA
119,Semele, 2020,"9,90 €","4,4",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,93 PN,NA
120,Bardos Viñedos de Altura, 2021,No se encontró el elemento price,"5,0",Vino Tinto,Ribera del Duero,"15,0%",Tempranillo,NA,NA,NA
121,Adernats Reserva Brut Nature,,No se encontró el elemento price,"4,6",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
122,Vicente Gandía Bobal Negro, 2021,No se encontró el elemento price,"5,0",Vino tinto,Utiel-Requena,"13,5%",Bobal,NA,NA,NA
123,Mont Marçal Reserva Brut Nature,,No se encontró el elemento price,"4,7",Cava,DO Cava,"12,0%",Xarel·lo,NA,NA,NA
124,Arzuaga Crianza, 2020,"22,95 €","4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,90 PK,90 PN,91 SK
125,El Puntido, 2019,"39,95 €","4,7",Vino tinto,Rioja,"14,5%",Tempranillo,93 PK,94 PN,92 SK
126,Guitián Godello, 2022,"14,90 €","4,4",Vino blanco,Valdeorras,"13,0%",Godello,91+ PK,91 PN,NA
127,Cims de Porrera Vi de Vila, 2019,No se encontró el elemento price,"4,3",Vino tinto,Priorat,"15,0%",Cariñena,90 PK,NA,NA
128,Huguet Reserva Brut Nature, 2017,"14,90 €","4,2",Cava,Corpinnat,"12,0%",Parellada,92 PK,NA,NA
129,Protos Roble, 2022,No se encontró el elemento price,"4,3",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,91 PN,91 SK
130,Familia Valdelana Reserva, 2018,No se encontró el elemento price,"4,3",Vino tinto,Rioja,"14,5%",Tempranillo,NA,NA,NA
131,La Tarara, 2019,No se encontró el elemento price,"3,7",Vino tinto,Rioja,"14,5%",Tempranillo,NA,90 PN,NA
132,Valduero Una Cepa, 2018,No se encontró el elemento price,"5,0",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,92 PK,92 PN,NA
133,Bruto, 2021,No se encontró el elemento price,"4,5",Vino tinto,Jumilla,"15,5%",Monastrell,92+ PK,NA,NA
134,Viña Real Reserva, 2017,No se encontró el elemento price,"4,2",Vino tinto,Rioja,"13,5%",Tempranillo,93+ PK,92 PN,94 SK
135,Borsao Tres Picos, 2020,No se encontró el elemento price,"4,4",Vino tinto,Campo de Borja,"15,5%",Garnacha,90 PK,93 PN,92 SK
136,Carles Andreu Brut Nature Reserva, 2021,No se encontró el elemento price,"4,6",Cava,DO Cava,"11,5%",Parellada,NA,NA,NA
137,Marieta, 2022,No se encontró el elemento price,"4,4",Vino blanco,Rías Baixas,"12,0%",Albariño,NA,NA,NA
138,San Román, 2020,"32,10 €","4,6",Vino tinto,Toro,"14,5%",Tinta de Toro,93+ PK,95 PN,92 SK
139,Roda, 2020,"30,90 €","4,6",Vino tinto,Rioja,"14,5%",Tempranillo,92 PK,93 PN,93 SK
140,Borsao Zarihs, 2019,No se encontró el elemento price,"4,1",Vino tinto,Campo de Borja,"15,0%",Syrah,91 PK,NA,NA
141,Do Ferreiro Cepas Vellas, 2022,No se encontró el elemento price,"4,2",Vino blanco,Rías Baixas,"13,5%",Albariño,96 PK,NA,NA
142,La Forcallà de Antonia, 2021,No se encontró el elemento price,"4,1",Vino tinto,Valencia,"14,5%",Forcayat del arco,93 PK,NA,NA
143,Artuke Pies Negros, 2021,No se encontró el elemento price,"4,4",Vino tinto,Rioja,"14,0%",Tempranillo,92+ PK,92 PN,NA
144,Brezo Blanco, 2022,No se encontró el elemento price,"4,2",Vino blanco,Bierzo,"12,5%",Godello,92 PK,NA,NA
145,Gotas del Mar Godello, 2022,No se encontró el elemento price,"4,5",Vino blanco,Ribeiro,"13,0%",Godello,NA,NA,91 SK
146,Valparaíso Roble, 2021,No se encontró el elemento price,"3,0",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,NA,NA
147,Martinet Bru, 2021,"23,95 €","4,3",Vino tinto,Priorat,"14,0%",Syrah,94 PK,NA,NA
148,Embruix, 2021,No se encontró el elemento price,"4,6",Vino tinto,Priorat,"15,0%",Garnacha,91 PK,NA,NA
149,La Vizcaína El Rapolao, 2021,"21,90 €","3,9",Vino tinto,Bierzo,"13,5%",Mencía,95 PK,94 PN,NA
150,Godeval Godello, 2022,No se encontró el elemento price,"4,5",Vino blanco,Valdeorras,"13,5%",Godello,90 PK,91 PN,NA
151,Avan Oak, 2022,No se encontró el elemento price,"4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,NA,NA
152,Godina, 2021,No se encontró el elemento price,"5,0",Vino tinto,Campo de Borja,"16,0%",Garnacha,90 PK,93 PN,NA
153,Flor de Vetus, 2019,"9,95 €","4,2",Vino tinto,Toro,"14,5%",Tinta de Toro,91 PK,92 PN,93 SK
154,Chivite Las Fincas Rosado, 2022,No se encontró el elemento price,"4,2",Vino rosado,3 Riberas,"13,5%",Garnacha,NA,91 PN,90 SK
155,Llopart Integral Brut Nature, 2021,No se encontró el elemento price,"4,3",Cava,Corpinnat,"11,5%",Parellada,NA,NA,NA
